Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ARL,"American Realty Investors, Inc.",12.83,$205.24M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/arl
SFUN,Fang Holdings Limited,2.28,$204.61M,2010,Technology,EDP Services,https://old.nasdaq.com/symbol/sfun
MOGU,MOGU Inc.,1.91,$204.33M,2018,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/mogu
CCR,CONSOL Coal Resources LP,7.37,$203.65M,2015,Energy,Coal Mining,https://old.nasdaq.com/symbol/ccr
XYF,X Financial,1.27,$202.51M,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/xyf
GPX,GP Strategies Corporation,11.88,$201.66M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/gpx
PEI,Pennsylvania Real Estate Investment Trust,2.59,$200.96M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pei
CVEO,Civeo Corporation,1.18,$200.07M,2014,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/cveo
ADM,Archer-Daniels-Midland Company,37.62,$20.99B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm
CMG,"Chipotle Mexican Grill, Inc.",755.55,$20.98B,2006,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/cmg
SWK,"Stanley Black & Decker, Inc.",136.13,$20.97B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/swk
SE,Sea Limited,45.07,$20.88B,2017,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/se
K,Kellogg Company,61.02,$20.87B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/k
SNAP,Snap Inc.,14.66,$20.82B,2017,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/snap
DFS,Discover Financial Services,66.18,$20.75B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dfs
VTR,"Ventas, Inc.",55.01,$20.51B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/vtr
DHI,"D.R. Horton, Inc.",55.86,$20.47B,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/dhi
CTVA,"Corteva, Inc.",27.29,$20.45B,2019,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/ctva
RNG,"Ringcentral, Inc.",235.73,$20.3B,2013,Technology,EDP Services,https://old.nasdaq.com/symbol/rng
PXD,Pioneer Natural Resources Company,122.67,$20.33B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/pxd
IX,Orix Corp Ads,79.92,$20.31B,n/a,Finance,Diversified Financial Services,https://old.nasdaq.com/symbol/ix
BBY,"Best Buy Co., Inc.",78.31,$20.26B,n/a,Consumer Services,Consumer Electronics/Video Chains,https://old.nasdaq.com/symbol/bby
SNN,"Smith & Nephew SNATS, Inc.",46.32,$20.26B,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/snn
WIT,Wipro Limited,3.56,$20.25B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/wit
TME,Tencent Music Entertainment Group,12.29,$20.1B,2018,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/tme
VIV,Telefonica Brasil S.A.,11.94,$20.16B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/viv
